date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:01	105548/105548	---M-Z	200	added ('OK')	text/html	etag:%2219c4c-55ac566625f43-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html	C:/xampp/htdocs/admin-template/admin-tem/wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html	(from )
21:16:02	114/114	---M-Z	200	added ('OK')	text/plain	date:Fri,%2008%20Dec%202017%2014:16:00%20GMT	https://wrappixel.com/robots.txt		(from )
21:16:03	17231/17231	---M--	200	added ('OK')	image/png	etag:%22434f-55ac5923ae13c%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/images/favicon.png	C:/xampp/htdocs/admin-template/admin-tem/wrappixel.com/ampleadmin/ampleadmin-html/plugins/images/favicon.png	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:16:04	781/781	---M-Z	200	added ('OK')	text/css	etag:%2230d-55ac63ee9f9b0-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/sidebar-nav/dist/sidebar-nav.min.css	C:/xampp/htdocs/admin-template/admin-tem/wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/sidebar-nav/dist/sidebar-nav.min.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:16:04	4910/4910	---M-Z	200	added ('OK')	text/css	etag:%22132e-55ac64842bc62-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/toast-master/css/jquery.toast.css	C:/xampp/htdocs/admin-template/admin-tem/wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/toast-master/css/jquery.toast.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:16:04	509/509	---M-Z	200	added ('OK')	text/css	etag:%221fd-55ac5d390b65f-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/morrisjs/morris.css	C:/xampp/htdocs/admin-template/admin-tem/wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/morrisjs/morris.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:16:05	10878/10878	---M-Z	200	added ('OK')	text/css	etag:%222a7e-55ac619a39ac6-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/chartist-js/dist/chartist.min.css	C:/xampp/htdocs/admin-template/admin-tem/wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/chartist-js/dist/chartist.min.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:16:05	795/795	---M-Z	200	added ('OK')	text/css	etag:%2231b-55ac619f9d4d8-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/chartist-plugin-tooltip-master/dist/chartist-plugin-tooltip.css	C:/xampp/htdocs/admin-template/admin-tem/wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/chartist-plugin-tooltip-master/dist/chartist-plugin-tooltip.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:16:06	24457/24457	---M-Z	200	added ('OK')	text/css	etag:%225f89-55ac61812aad5-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/calendar/dist/fullcalendar.css	C:/xampp/htdocs/admin-template/admin-tem/wrappixel.com/ampleadmin/ampleadmin-html/plugins/bower_components/calendar/dist/fullcalendar.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
21:16:06	56449/56449	---M-Z	200	added ('OK')	text/css	etag:%22dc81-55ac5887fca99-gzip%22	https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/css/animate.css	C:/xampp/htdocs/admin-template/admin-tem/wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/css/animate.css	(from https://wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin-minimal/index.html)
